Precision,Recall,F1 Score,Test Precision,Test Recall,Test F1,Number of examples,Margin,Clauses,Specificity,Accumulation,Max_included_literals,,,,,,,,,,
0.791152042,0.458323898,0.579497339,0.741312364,0.460464376,0.567920334,250,275,99,2.5,5,11,,,,,,,,,,
0.793475216,0.43882574,0.563854071,0.766693635,0.41653297,0.539320516,250,275,99,2.5,5,19,,,,,,,,,,
0.774431572,0.523033455,0.623973426,0.688795489,0.364344741,0.476374792,250,275,99,2.5,27,3,,,,,,,,,,
0.795520486,0.464857201,0.585405808,0.719125562,0.347831177,0.468720631,250,275,99,2.5,27,11,,,,,,,,,,
0.84479487,0.445695804,0.581218206,0.737444713,0.320804308,0.447031458,250,275,99,2.5,27,19,,,,,,,,,,
0.755027722,0.584112512,0.658429673,0.61803713,0.359601539,0.454501909,250,275,99,2.5,49,3,,,,,,,,,,
0.816346936,0.544524831,0.65151207,0.669591544,0.338480042,0.449485235,250,275,99,2.5,49,11,,,,,,,,,,
0.83991506,0.551776919,0.665339186,0.691386327,0.33483062,0.450952848,250,275,99,2.5,49,19,,,,,,,,,,
0.825952923,0.110948407,0.194883377,0.714386904,0.078328504,0.141139164,250,275,99,11.25,5,3,,,,,,,,,,
0.816414533,0.186902334,0.303539352,0.704469992,0.162987635,0.264664249,250,275,99,11.25,5,11,,,,,,,,,,
0.828577498,0.15342232,0.257501342,0.713348152,0.121404942,0.207460247,250,275,99,11.25,5,19,,,,,,,,,,
0.881961707,0.281974097,0.425283202,0.65734935,0.113105531,0.192949414,250,275,99,11.25,27,3,,,,,,,,,,
0.875261655,0.247772147,0.384185383,0.669435208,0.109265421,0.187862981,250,275,99,11.25,27,11,,,,,,,,,,
0.871742125,0.214495044,0.341235857,0.588606504,0.082252799,0.144328467,250,275,99,11.25,27,19,,,,,,,,,,
0.905177676,0.327211816,0.478031628,0.633069999,0.109491752,0.186436767,250,275,99,11.25,49,3,,,,,,,,,,
0.914134021,0.329850145,0.480742195,0.683922672,0.122274502,0.207399774,250,275,99,11.25,49,11,,,,,,,,,,
0.900914404,0.281834258,0.427546166,0.693508284,0.103442672,0.17957611,250,275,99,11.25,49,19,,,,,,,,,,
0.859821309,0.08059657,0.146964824,0.677242064,0.055257783,0.102103679,250,275,99,20,5,3,,,,,,,,,,
0.800306112,0.074377231,0.134634428,0.690871157,0.04152243,0.078327494,250,275,99,20,5,11,,,,,,,,,,
0.846909134,0.082995054,0.1496817,0.611245254,0.037998216,0.071493634,250,275,99,20,5,19,,,,,,,,,,
0.914308633,0.207603605,0.336179079,0.664764746,0.076659265,0.137416772,250,275,99,20,27,3,,,,,,,,,,
0.921745791,0.180026914,0.296981619,0.674770657,0.056692547,0.1045564,250,275,99,20,27,11,,,,,,,,,,
0.91424998,0.20417861,0.33011039,0.724497663,0.051484173,0.096046023,250,275,99,20,27,19,,,,,,,,,,
0.915030791,0.290260715,0.436944276,0.662035897,0.09850991,0.17115936,250,275,99,20,49,3,,,,,,,,,,
0.935900611,0.270646239,0.415893609,0.612791479,0.081384432,0.143643531,250,275,99,20,49,11,,,,,,,,,,
0.929190981,0.239251019,0.376838685,0.666374585,0.055147437,0.101655481,250,275,99,20,49,19,,,,,,,,,,
0.82428668,0.623906804,0.709630034,0.800492358,0.60244836,0.68742115,250,500,15,2.5,5,3,,,,,,,,,,
0.595969377,0.381438836,0.464619111,0.545307599,0.291284361,0.37810786,250,500,15,2.5,5,11,,,,,,,,,,
0.821020798,0.416883998,0.549016731,0.795106368,0.374535026,0.508888351,250,500,15,2.5,5,19,,,,,,,,,,
0.787960144,0.511783916,0.620087622,0.619907466,0.320067105,0.421996166,250,500,15,2.5,27,3,,,,,,,,,,
0.782042749,0.568921354,0.658245818,0.650500674,0.420493275,0.509235458,250,500,15,2.5,27,11,,,,,,,,,,
0.847281801,0.516329564,0.640165854,0.745095126,0.397901902,0.518261798,250,500,15,2.5,27,19,,,,,,,,,,
0.846981343,0.625300234,0.71896149,0.666865253,0.31112714,0.423718585,250,500,15,2.5,49,3,,,,,,,,,,
0.839004851,0.571357607,0.678904774,0.663358986,0.343605995,0.452571336,250,500,15,2.5,49,11,,,,,,,,,,
0.871797703,0.583610088,0.696887383,0.697209901,0.399882784,0.508152206,250,500,15,2.5,49,19,,,,,,,,,,
0.751727734,0.162938101,0.26249672,0.587985508,0.07663159,0.135423797,250,500,15,11.25,5,3,,,,,,,,,,
0.801997047,0.215166053,0.339118766,0.721862035,0.15622585,0.255061891,250,500,15,11.25,5,11,,,,,,,,,,
0.812263485,0.136219698,0.22971338,0.660031603,0.100941906,0.174434192,250,500,15,11.25,5,19,,,,,,,,,,
0.914333713,0.385312711,0.540062187,0.828081338,0.240432249,0.371108725,250,500,15,11.25,27,3,,,,,,,,,,
0.920674902,0.273959261,0.411874574,0.69579593,0.106928914,0.185094124,250,500,15,11.25,27,11,,,,,,,,,,
0.949355704,0.240792187,0.36914591,0.76236096,0.034180302,0.065172992,250,500,15,11.25,27,19,,,,,,,,,,
0.907884237,0.405375595,0.553268881,0.550318443,0.12007751,0.196981609,250,500,15,11.25,49,3,,,,,,,,,,
0.95172221,0.363810067,0.516849779,0.590140591,0.0454787,0.084124975,250,500,15,11.25,49,11,,,,,,,,,,
0.932684922,0.282546638,0.416936269,0.799010242,0.061058632,0.113089748,250,500,15,11.25,49,19,,,,,,,,,,
0.902003095,0.117698291,0.20766326,0.864091831,0.055548552,0.103749987,250,500,15,20,5,3,,,,,,,,,,
0.846210666,0.080763443,0.14534004,0.625385379,0.028610591,0.054509967,250,500,15,20,5,11,,,,,,,,,,
0.807756896,0.082062322,0.14836139,0.815935967,0.040725045,0.077362465,250,500,15,20,5,19,,,,,,,,,,
0.950185805,0.298459568,0.441632055,0.573522909,0.032772765,0.061994401,250,500,15,20,27,3,,,,,,,,,,
0.942935889,0.257307816,0.395243115,0.641507367,0.082132015,0.144403032,250,500,15,20,27,11,,,,,,,,,,
0.966651419,0.193655863,0.300708951,0.448719616,0.008729349,0.017042293,250,500,15,20,27,19,,,,,,,,,,
0.860737452,0.295598149,0.430664198,0.346570403,0.091643024,0.139213172,250,500,15,20,49,3,,,,,,,,,,
0.896062318,0.345987437,0.491870198,0.618728258,0.086636471,0.151215231,250,500,15,20,49,11,,,,,,,,,,
0.946743593,0.255797329,0.387965437,0.430114341,0.020620501,0.038662377,250,500,15,20,49,19,,,,,,,,,,
0.836943468,0.423206003,0.559652654,0.802535478,0.393518062,0.527755164,250,500,57,2.5,5,3,,,,,,,,,,
0.803099179,0.459241936,0.581829608,0.786807469,0.470535384,0.588560985,250,500,57,2.5,5,11,,,,,,,,,,
0.820930066,0.45999162,0.588563107,0.780371361,0.44757095,0.568775106,250,500,57,2.5,5,19,,,,,,,,,,
0.78659178,0.52178768,0.626558281,0.66110687,0.385415272,0.486379348,250,500,57,2.5,27,3,,,,,,,,,,
0.818266187,0.486806233,0.609465347,0.742129948,0.379107489,0.501351773,250,500,57,2.5,27,11,,,,,,,,,,
0.836902767,0.471054288,0.600533996,0.755709201,0.371291227,0.497694599,250,500,57,2.5,27,19,,,,,,,,,,
0.809361936,0.620293795,0.701352104,0.6711084,0.418756367,0.515706529,250,500,57,2.5,49,3,,,,,,,,,,
0.856906962,0.550382598,0.669647035,0.709661971,0.366615189,0.483040881,250,500,57,2.5,49,11,,,,,,,,,,
0.860744849,0.535137217,0.658347734,0.655042746,0.279268219,0.391316323,250,500,57,2.5,49,19,,,,,,,,,,
0.851940256,0.140403558,0.23850681,0.684336524,0.085864677,0.152416579,250,500,57,11.25,5,3,,,,,,,,,,
0.85202686,0.128194357,0.220679224,0.754913957,0.097321817,0.172368827,250,500,57,11.25,5,11,,,,,,,,,,
0.835911912,0.158482505,0.263341863,0.734427369,0.095533768,0.169045287,250,500,57,11.25,5,19,,,,,,,,,,
0.878845705,0.299848307,0.444518942,0.605145091,0.120722345,0.201262899,250,500,57,11.25,27,3,,,,,,,,,,
0.884283744,0.270100684,0.410828904,0.732332404,0.137016389,0.230479823,250,500,57,11.25,27,11,,,,,,,,,,
0.867649904,0.258013478,0.392275744,0.629854225,0.109978769,0.186971116,250,500,57,11.25,27,19,,,,,,,,,,
0.952849756,0.401928871,0.561127584,0.724384798,0.126702752,0.215293337,250,500,57,11.25,49,3,,,,,,,,,,
0.901550025,0.377605834,0.53075624,0.626853284,0.123907293,0.206223827,250,500,57,11.25,49,11,,,,,,,,,,
0.920591449,0.308679115,0.459264864,0.647137371,0.09547923,0.165979795,250,500,57,11.25,49,19,,,,,,,,,,
0.847849316,0.107335158,0.189796159,0.648879626,0.064016425,0.116259652,250,500,57,20,5,3,,,,,,,,,,
0.817576518,0.097079287,0.172090589,0.659054211,0.033986944,0.06461567,250,500,57,20,5,11,,,,,,,,,,
0.867705942,0.08325277,0.15087834,0.666852719,0.046476546,0.086449277,250,500,57,20,5,19,,,,,,,,,,
0.884082343,0.248389464,0.383642861,0.617222685,0.092058069,0.159856418,250,500,57,20,27,3,,,,,,,,,,
