Precision,Recall,F1 Score,Number of examples,Margin,Clauses,Specificity,Accumulation
0.672981813,0.167406892,0.266377173,100,500,249,8.333333333,10
0.700893735,0.293276774,0.411317697,100,500,249,8.333333333,31
0.687836055,0.304623031,0.420697664,100,500,249,8.333333333,52
0.722707379,0.316303361,0.437796542,100,500,249,8.333333333,73
0.688814735,0.14622926,0.236702107,100,500,249,14.16666667,10
0.718418371,0.239911342,0.35644706,100,500,249,14.16666667,31
0.760280388,0.27904274,0.402718938,100,500,249,14.16666667,52
0.721603423,0.265653451,0.385613028,100,500,249,14.16666667,73
0.693058132,0.106754781,0.180537194,100,500,249,20,10
0.764555868,0.263128251,0.386282755,100,500,249,20,31
0.795665652,0.264477199,0.393267225,100,500,249,20,52
0.771324099,0.298225657,0.425056964,100,500,249,20,73
0.707549367,0.495472351,0.57724702,733,50,15,2.5,10
0.625094141,0.539426893,0.57838521,733,50,15,2.5,31
0.707458982,0.558243418,0.623598536,733,50,15,2.5,52
0.597222821,0.396565537,0.474735791,733,50,15,2.5,73
0.576353636,0.166525486,0.251028,733,50,15,8.333333333,10
0.660468646,0.218519306,0.322856249,733,50,15,8.333333333,31
0.77799366,0.349652403,0.476329283,733,50,15,8.333333333,52
0.714699105,0.314762402,0.431266983,733,50,15,8.333333333,73
0.680788436,0.180366795,0.284381689,733,50,15,14.16666667,10
0.705085329,0.226282643,0.340105493,733,50,15,14.16666667,31
0.689679418,0.195038339,0.298952612,733,50,15,14.16666667,52
0.816615574,0.232305017,0.348184323,733,50,15,14.16666667,73
0.708735707,0.1242407,,733,50,15,20,10
0.770213054,0.148592127,0.244804804,733,50,15,20,31
0.751014835,0.234131032,0.355398608,733,50,15,20,52
0.766621633,0.21079333,,733,50,15,20,73
0.642755365,0.506615549,0.566319018,733,50,93,2.5,10
0.568275326,0.441915113,0.496804564,733,50,93,2.5,31
0.585791942,0.494846183,0.536169444,733,50,93,2.5,52
0.596799882,0.491490926,0.538455309,733,50,93,2.5,73
0.517453958,0.161652493,0.245680616,733,50,93,8.333333333,10
0.601156445,0.212737187,0.313191201,733,50,93,8.333333333,31
0.638359553,0.267264966,0.376079989,733,50,93,8.333333333,52
0.693133503,0.300485431,0.417785952,733,50,93,8.333333333,73
0.606320742,0.16930975,0.263120012,733,50,93,14.16666667,10
0.650554799,0.206652576,0.312901387,733,50,93,14.16666667,31
0.649168793,0.220314073,0.328015081,733,50,93,14.16666667,52
0.747070318,0.308704119,0.43564694,733,50,93,14.16666667,73
0.592588885,0.104439362,0.175236704,733,50,93,20,10
0.703160768,0.162218416,0.261898786,733,50,93,20,31
0.747040122,0.197872614,0.309669021,733,50,93,20,52
0.720107253,0.232489745,0.349200312,733,50,93,20,73
0.589316132,0.338865268,0.429222403,733,50,171,2.5,10
0.548859618,0.417492569,0.473931988,733,50,171,2.5,31
0.541945274,0.4054743,0.463623904,733,50,171,2.5,52
0.552900799,0.455690883,0.499424574,733,50,171,2.5,73
0.541443751,0.136385731,0.216765379,733,50,171,8.333333333,10
0.623804229,0.250579644,0.357003193,733,50,171,8.333333333,31
0.575305862,0.220083502,0.317693675,733,50,171,8.333333333,52
0.614952446,0.294796291,0.397554397,733,50,171,8.333333333,73
0.525483748,0.09721791,0.163082137,733,50,171,14.16666667,10
0.619808922,0.166780349,0.261394251,733,50,171,14.16666667,31
0.662212649,0.20807543,0.315361382,733,50,171,14.16666667,52
0.718837749,0.273022752,0.394394402,733,50,171,14.16666667,73
0.541752069,0.080211023,0.139096912,733,50,171,20,10
0.653694502,0.165019532,0.262622323,733,50,171,20,31
0.71642108,0.208737046,0.321503686,733,50,171,20,52
0.7440724,0.242391496,0.36435567,733,50,171,20,73
0.516986871,0.260188352,0.345401985,733,50,249,2.5,10
0.524902904,0.392428289,0.449005467,733,50,249,2.5,31
0.528268093,0.388211197,0.447087886,733,50,249,2.5,52
0.51705268,0.39035834,0.444682558,733,50,249,2.5,73
0.518840625,0.13068611,0.207730359,733,50,249,8.333333333,10
